Country{code='DZA', name='Algeria', continent='Africa', region='Northern Africa', population=31471000, capital=35}
Country{code='CAN', name='Canada', continent='North America', region='North America', population=31147000, capital=1822}
Country{code='KEN', name='Kenya', continent='Africa', region='Eastern Africa', population=30080000, capital=1881}
Country{code='SDN', name='Sudan', continent='Africa', region='Northern Africa', population=29490000, capital=3225}
Country{code='MAR', name='Morocco', continent='Africa', region='Northern Africa', population=28351000, capital=2486}
Country{code='PER', name='Peru', continent='South America', region='South America', population=25662000, capital=2890}
Country{code='UZB', name='Uzbekistan', continent='Asia', region='Southern and Central Asia', population=24318000, capital=3503}
Country{code='VEN', name='Venezuela', continent='South America', region='South America', population=24170000, capital=3539}
Country{code='PRK', name='North Korea', continent='Asia', region='Eastern Asia', population=24039000, capital=2318}
Country{code='NPL', name='Nepal', continent='Asia', region='Southern and Central Asia', population=23930000, capital=2729}
Country{code='IRQ', name='Iraq', continent='Asia', region='Middle East', population=23115000, capital=1365}
Country{code='AFG', name='Afghanistan', continent='Asia', region='Southern and Central Asia', population=22720000, capital=1}
Country{code='ROM', name='Romania', continent='Europe', region='Eastern Europe', population=22455500, capital=3018}
Country{code='TWN', name='Taiwan', continent='Asia', region='Eastern Asia', population=22256000, capital=3263}
Country{code='MYS', name='Malaysia', continent='Asia', region='Southeast Asia', population=22244000, capital=2464}
Country{code='UGA', name='Uganda', continent='Africa', region='Eastern Africa', population=21778000, capital=3425}
Country{code='SAU', name='Saudi Arabia', continent='Asia', region='Middle East', population=21607000, capital=3173}
Country{code='GHA', name='Ghana', continent='Africa', region='Western Africa', population=20212000, capital=910}
Country{code='MOZ', name='Mozambique', continent='Africa', region='Eastern Africa', population=19680000, capital=2698}
Country{code='AUS', name='Australia', continent='Oceania', region='Australia and New Zealand', population=18886000, capital=135}
Country{code='LKA', name='Sri Lanka', continent='Asia', region='Southern and Central Asia', population=18827000, capital=3217}
Country{code='YEM', name='Yemen', continent='Asia', region='Middle East', population=18112000, capital=1780}
Country{code='KAZ', name='Kazakstan', continent='Asia', region='Southern and Central Asia', population=16223000, capital=1864}
Country{code='SYR', name='Syria', continent='Asia', region='Middle East', population=16125000, capital=3250}
Country{code='MDG', name='Madagascar', continent='Africa', region='Eastern Africa', population=15942000, capital=2455}
Country{code='NLD', name='Netherlands', continent='Europe', region='Western Europe', population=15864000, capital=5}
Country{code='CHL', name='Chile', continent='South America', region='South America', population=15211000, capital=554}
Country{code='CMR', name='Cameroon', continent='Africa', region='Central Africa', population=15085000, capital=1804}
Country{code='CIV', name='Côte d’Ivoire', continent='Africa', region='Western Africa', population=14786000, capital=2814}
Country{code='AGO', name='Angola', continent='Africa', region='Central Africa', population=12878000, capital=56}
Country{code='ECU', name='Ecuador', continent='South America', region='South America', population=12646000, capital=594}
Country{code='BFA', name='Burkina Faso', continent='Africa', region='Western Africa', population=11937000, capital=549}
Country{code='ZWE', name='Zimbabwe', continent='Africa', region='Eastern Africa', population=11669000, capital=4068}
Country{code='GTM', name='Guatemala', continent='North America', region='Central America', population=11385000, capital=922}
Country{code='MLI', name='Mali', continent='Africa', region='Western Africa', population=11234000, capital=2482}
Country{code='CUB', name='Cuba', continent='North America', region='Caribbean', population=11201000, capital=2413}
Country{code='KHM', name='Cambodia', continent='Asia', region='Southeast Asia', population=11168000, capital=1800}
Country{code='MWI', name='Malawi', continent='Africa', region='Eastern Africa', population=10925000, capital=2462}
Country{code='NER', name='Niger', continent='Africa', region='Western Africa', population=10730000, capital=2738}
Country{code='YUG', name='Yugoslavia', continent='Europe', region='Southern Europe', population=10640000, capital=1792}
Country{code='GRC', name='Greece', continent='Europe', region='Southern Europe', population=10545700, capital=2401}
Country{code='CZE', name='Czech Republic', continent='Europe', region='Eastern Europe', population=10278100, capital=3339}
Country{code='BEL', name='Belgium', continent='Europe', region='Western Europe', population=10239000, capital=179}
Country{code='BLR', name='Belarus', continent='Europe', region='Eastern Europe', population=10236000, capital=3520}
Country{code='SOM', name='Somalia', continent='Africa', region='Eastern Africa', population=10097000, capital=3214}
Country{code='HUN', name='Hungary', continent='Europe', region='Eastern Europe', population=10043200, capital=3483}
Country{code='PRT', name='Portugal', continent='Europe', region='Southern Europe', population=9997600, capital=2914}
Country{code='TUN', name='Tunisia', continent='Africa', region='Northern Africa', population=9586000, capital=3349}
Country{code='SEN', name='Senegal', continent='Africa', region='Western Africa', population=9481000, capital=3198}
